,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
178,"Louisville, Kentucky","Louisville, Kentucky",2016-03-20,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,4,0,3,,,Unknown,,,,,,White American or European American,Male,,,,38.252.665,-85.758.456,,,30.0
179,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",2016-03-20,Husband murders his wife and two children before committing suicide at their Kentucky home,4,0,3,,,Yes,,,,,,White American or European American,Male,,,,38.252.665,-85.758.456,,,31.0
180,"Plantation, Florida","Plantation, Florida",2016-03-19,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,1,4,5,,,Unknown,,,,,,Unknown,Unknown,,,,26.127.586,-80.233.104,,,32.0
181,Wetumpka Drive-by,"Wetumpka, Alabama",2016-03-19,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",2,2,4,,,Unknown,,,,,,Black American or African American,Male,,,,32.543.745,-86.211.913,,,33.0
182,Spring Break Party shooting,"Fort Lauderdale, Florida",2016-03-19,"Shooter fired into crowd at a spring break house party with over 400 people, killing one, and injuring four. No one provided any information about the shooter, who escaped.",1,4,5,,,Unknown,,,,,,Unknown,Unknown,,,,26.127.586,-80.233.104,,,34.0
183,Atlanta Nightclub shooting,"Atlanta, Georgia",2016-03-15,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured. ,0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,33.748.995,-84.387.982,,,35.0
184,Florida Family celebration ends in shooting,"Fort Myers, Florida",2016-03-13,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,26.640.628,-81.872.308,,,36.0
185,"Elberton, Georgia murder-suicide","Elberton, Georgia",2016-03-12,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",2,2,3,,,Unknown,,,,,,Unknown,Male,,,,34.111.223,-82.867.084,,,37.0
186,"Trenton, NJ sidewalk shooting","Trenton, New Jersey",2016-03-11,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five. ",0,5,5,,,Unknown,,,,,,Unknown,Unknown,,,,40.217.053,-74.742.938,,,38.0
187,Detroit Drive-by,"Detroit, Michigan",2016-03-11,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,2,2,4,,,Unknown,,,,,,Unknown,Unknown,,,,42.331.427,-83.045.754,,,39.0
188,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania",2016-03-09,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the womanâs 8-month-old fetus a homicide and raised the number of fatalities to six.",6,3,9,,,Unknown,,,,,,Unknown,Male,,,,40.440.625,-79.995.886,,,40.0
189,Wilkinsburg BBQ cookout shootout,"Wilkinsburg, Pennsylvania",2016-03-09,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",5,3,8,,,Unknown,,,,,,Unknown,Male,,,,40.441.736,-79.881.994,,,41.0
190,"Kansas City, Kansas","Kansas City, Kansas",2016-03-07,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",5,0,5,,,Unknown,,,,,,Some other race,Male,,,,39.114.053,-94.627.464,,,42.0
191,"Lafayette, LA drive by","Lafayette, Louisiana",2016-03-07,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads.",0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,3.022.409,-92.019.843,,,43.0
192,Kansas City Home Invasion,"Kansas City, Kansas",2016-03-07,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",4,0,4,,,Unknown,,,,,,Some other race,Male,,,,39.114.053,-94.627.464,,,44.0
193,"Chelsea, Massachusetts","Chelsea, Massachusetts",2016-03-06,"The shooting happened early Sunday morning during a party in a vacant apartment. The shooter pened fire with one gun at a party of about 50 people in an vacant, three-room apartment. A 19-year-old Chelsea resident was was killed in a shooting that wounded five other teens and a 22-year-old.",1,6,7,,,Unknown,,,,,,Unknown,Male,,,,42.391.764,-71.032.828,,,45.0
194,"Chelsea, MA empty apartment party shooting","Chelsea, Massachusetts",2016-03-06,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",1,6,7,,,Unknown,,,,,,Some other race,Male,,,,42.391.764,-71.032.828,,,46.0
195,"Roswell, GA Hookah shootout","Rosewell, Georgia",2016-03-06,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries. ",0,4,4,,,Unknown,,,,,,Black American or African American,Male,,,,34.023.243,-84.361.556,,,47.0
196,Wichita Nightclub shooting,"Wichita, Kansas",2016-03-05,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured.,0,4,4,,,Unknown,,,,,,Unknown,Unknown,,,,37.687.176,-97.330.053,,,48.0
197,Detroit Strip Club Shootout,"Detroit, Michigan",2016-02-28,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",0,5,5,,,Unknown,,,,,,Black American or African American,Male,,,,42.331.427,-83.045.754,,,49.0
198,Riverside restaurant shooting,"Riverside, California",2016-02-28,Shooter fired upon group of people in a restaurant parking lot,1,3,4,,,Unknown,,,,,,Some other race,Male,,,,33.997.197,-11.748.548,,,50.0
199,"Woodbridge, Virginia","Woodbridge,  Virginia",2016-02-27,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2,2,4,,,Unknown,,,,,,Black American or African American,Male,,,,386.697,-773.524,,,51.0
200,"Belfair, Washington","Belfair, Washington",2016-02-26,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",5,0,4,,,Unknown,,,,,,White American or European American,Male,,,,475.033,-122.931,,,52.0
202,"Hesston, Kansas","Hesston, Kansas",2016-02-25,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",4,14,17,,,Unknown,,,,,,Black American or African American,Male,,,,381.368,-974.268,,,54.0
203,"Belfair, WA Family murder-suicide","Belfair, Washington",2016-02-25,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",5,0,4,,,Unknown,,,,,,White American or European American,Male,,,,47.451.459,-122.826.946,,,55.0
204,"Glendale, Arizona","Glendale, Arizona",2016-02-23,"Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.",5,0,4,,,Yes,,,,,,Two or more races,Male,,,,335.927,-112.163,,,56.0
205,Arizona Family Murder,"Arizona, Pheonix",2016-02-23,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,5,0,4,,,Unknown,,,,,,White American or European American,Male,,,,33.448.377,-112.074.037,,,57.0
206,Missouri Highway shooting,"Hazelwood, Missouri",2016-02-21,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",1,3,4,,,Unknown,,,,,,Black American or African American,Male,,,,3.877.144,-90.370.949,,,58.0
207,Houston Drive-by,"Houston, Texas",2016-02-21,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",0,5,5,,,Unknown,,,,,,Unknown,Unknown,,,,29.760.427,-95.369.803,,,59.0
209,"Iuka, Mississippi","Iuka, Mississippi",2016-02-20,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2,3,4,,,Unknown,,,,,,White American or European American,Male,,,,347.404,-881.383,,,61.0
210,"Kalamazoo, Michigan","Kalamazoo, Michigan",2016-02-20,"On Saturday evening of February 20, 2016, the gunman shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.",6,2,8,,,Unknown,,,,,,White American or European American,Male,,,,422.354,-85.676,,,62.0
211,Florida Hookah Bar Shooting,"Tampa, Florida",2016-02-20,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",1,3,4,,,Unknown,,,,,,Unknown,Unknown,,,,27.950.575,-82.457.178,,,63.0
212,Kalamazoo Uber Driver Spree Killing,"Kalamazoo, Michigan",2016-02-20,An Uber driver fired upon people in three locations over the course of about 6 hours.,6,2,8,,,No,,,,,,White American or European American,Male,,,,42.291.707,-85.587.229,,,64.0
213,"Vallejo, CA car shooting","Vallejo, California",2016-02-19,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",2,2,4,,,Unknown,,,,,,Unknown,Unknown,,,,38.104.086,-122.256.637,,,65.0
214,Michigan school shooting,"Muskegon, Michigan",2016-02-09,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",0,3,3,,,Unknown,,,,,,Black American or African American,Male,,,,43.201.126,-86.238.946,,,66.0
215,"Orlando, Florida","Orlando, Florida",2016-02-07,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2,10,12,,,Unknown,,,,,,Some other race,Male,,,,284.541,-814.646,,,67.0
216,Nightclub fight turns into shootout,"Rochester, New York",2016-02-07,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,,,Unknown,,,,,,Unknown,Unknown,,,,4.316.103,-77.610.922,,,68.0
217,"Tampa, FL Strip club shooting","Tampa, Florida",2016-02-06,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,,,Unknown,,,,,,Unknown,Unknown,,,,27.950.575,-82.457.178,,,69.0
218,"Los Angeles, CA street shooting","Los Angeles, California",2016-02-06,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,,,Unknown,,,,,,Unknown,Unknown,,,,34.052.234,-118.243.685,,,70.0
219,Texas teen commits family murder suicide,"Carrizo Springs, Texas",2016-02-06,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,,,Unknown,,,,,,White American or European American,Male,,,,29.209.684,-99.786.168,,,71.0
220,New Orleans gas station shoot-out,"New Orleans, Louisiana",2016-01-31,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,,,Unknown,,,,,,Black American or African American,Male,,,,29.951.066,-90.071.532,,,72.0
221,"Glendale, AZ House Party shooting","Glendale, Arizona",2016-01-30,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,,,Unknown,,,,,,Unknown,Male,,,,33.538.652,-112.185.987,,,73.0
222,"Caroline County, VA Family Murder Suicide","Caroline County, Virginia",2016-01-29,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,,,Unknown,,,,,,Unknown,Male,,,,38.044.556,-77.286.488,,,74.0
223,"Chesapeake, Virginia","Chesapeake, Virginia",2016-01-27,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,,,Yes,,,,,,White American or European American,Male,,,,367.921,-763.293,,,75.0
224,"Chesapeake, VA Family Murder Suicide","Chesapeake, Virginia",2016-01-27,"26-year-old killed his Mother, Father, Grandmother, brother, and sister before killing himself in the home of his Grandmother.",6,0,5,,,Unknown,,,,,,White American or European American,Male,,,,36.768.209,-76.287.493,,,76.0
225,"Perris, CA Mexican restaurant shooting","Perris, California",2016-01-25,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,,,Unknown,,,,,,Unknown,Male,,,,33.782.519,-117.228.648,,,77.0
226,Florida family murder,"Crestview, Florida",2016-01-23,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,,,Unknown,,,,,,White American or European American,Male,,,,30.754.181,-86.572.799,,,78.0
227,Los Angeles Drive-by,"Los Angeles, California",2016-01-23,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,,,Unknown,,,,,,Unknown,Unknown,,,,34.052.234,-118.243.685,,,79.0
